name,age,gender,income,state,marital_status,education,employment_status,household_size,owns_home
James Hudson,57,M,107291,VT,single,master,self_employed,6,False
Joseph Hernandez,38,M,130486,AR,divorced,other,unemployed,2,False
Mark Harvey,60,M,124390,MS,married,other,self_employed,4,True
Joe Patel,37,M,100212,GU,married,phd,self_employed,4,False
Robert Roberts,46,M,81020,SC,widowed,bachelor,employed,3,False
Jennifer Love,23,F,86569,PR,divorced,bachelor,unemployed,2,True
Carrie Khan,20,F,89184,GA,widowed,other,employed,4,False
Nathan Smith,74,M,175908,MN,married,phd,retired,4,True
Bailey Parker,27,F,26453,IL,single,phd,unemployed,2,False
Linda Cobb,21,F,171120,AR,married,high_school,retired,2,False
Jason Elliott,60,M,164233,MS,divorced,phd,retired,5,False
Mary Ryan,75,F,66722,FM,widowed,phd,self_employed,2,False
Andrea Wheeler,67,F,161655,TN,widowed,bachelor,self_employed,4,True
Denise Hawkins,63,F,99901,MT,married,master,self_employed,3,True
Dawn Rivera,26,F,64539,DE,married,phd,unemployed,6,True
Michael Padilla,22,M,133755,OR,widowed,master,retired,4,True
Craig Hall,31,M,135138,VT,widowed,other,employed,5,False
Kathy Brooks,48,F,26545,NH,divorced,master,retired,4,True
Courtney Sutton DVM,49,F,82520,NJ,divorced,phd,retired,1,False
Benjamin Frost,39,M,130989,WA,married,phd,unemployed,5,True
Jeffrey Roberson,76,M,128290,MS,single,high_school,retired,2,False
Brandon Hahn,29,M,38181,MH,divorced,phd,self_employed,2,False
Carolyn James,38,F,113473,RI,widowed,master,retired,3,True
Gary Cook,48,M,30081,VT,single,master,unemployed,6,True
Doris Schwartz,67,F,35553,CT,single,bachelor,unemployed,1,True
Heather Holland,33,F,58088,MT,widowed,high_school,unemployed,4,False
Teresa Thomas,67,F,121703,HI,married,other,employed,2,False
Jessica Johnson,24,F,176698,MI,single,master,retired,4,True
Luis Cervantes,22,M,88661,MD,single,master,employed,5,True
Sean Crane,40,M,164655,WY,widowed,master,employed,5,False
Denise Medina,18,F,135115,MI,widowed,high_school,retired,3,False
Wendy Rowe,63,F,65105,KY,widowed,bachelor,self_employed,5,False
Brandi Thomas,47,F,139183,NH,divorced,master,unemployed,1,False
Robert Sanders,74,M,143175,FM,married,phd,retired,3,True
Timothy Hill,49,M,110200,MS,married,phd,unemployed,3,False
Ashley Edwards,39,F,98310,VA,divorced,other,employed,5,True
Jeffrey Moody,23,M,88270,MN,widowed,phd,unemployed,6,False
Tiffany Townsend,59,F,153665,OR,widowed,high_school,employed,3,True
Jessica Ashley,43,F,88780,WI,divorced,other,self_employed,4,False
Jessica Warren,45,F,169281,AS,divorced,master,retired,3,False
David Moon,34,M,85434,IA,single,bachelor,self_employed,1,True
Wesley Cuevas,30,M,81723,KY,widowed,master,self_employed,1,True
Crystal Bruce,36,F,84633,KY,divorced,bachelor,self_employed,1,True
Christina Chan,35,F,36931,ME,single,other,self_employed,6,True
Christopher Crane,58,M,153680,MH,single,high_school,self_employed,4,False
Tom Williams,46,M,114314,MT,married,high_school,self_employed,4,True
Rebecca Wright,70,F,42129,WY,widowed,phd,employed,5,True
Theresa Johnston,27,F,64111,MA,divorced,high_school,unemployed,1,False
Gina Thompson,56,F,84162,UT,widowed,phd,retired,3,False
Kevin Thompson,37,M,174062,SC,single,other,employed,2,True
Meagan Daniel,34,F,46282,WV,married,bachelor,unemployed,5,True
Angela Singleton,28,F,25701,ID,widowed,phd,retired,3,True
Nathan Blair,32,M,100524,MO,divorced,phd,employed,6,True
Matthew Davis,77,M,94351,TX,married,phd,employed,5,True
David Evans,59,M,64056,MO,divorced,bachelor,employed,1,True
Joseph Stark,68,M,105638,RI,divorced,phd,employed,4,False
Steve Rivera,62,M,130515,NC,divorced,other,retired,4,True
Jose Moore,56,M,35449,IA,widowed,master,self_employed,1,True
Jeremy Horne,32,M,175784,AS,single,master,employed,2,False
Lisa Hahn,51,F,140927,MD,divorced,bachelor,retired,6,False
Michael Stafford,80,M,48918,GU,widowed,master,retired,3,False
Michelle Parks,60,F,52420,AR,married,master,retired,6,False
Cheyenne Wilson,36,F,129976,IL,single,phd,employed,3,False
Brooke Glover,38,F,55388,GA,widowed,other,employed,6,False
Elizabeth Carter,44,F,39209,MN,married,other,self_employed,5,False
Margaret Wise,58,F,140878,RI,single,bachelor,self_employed,5,True
Stephanie Hunt,77,F,100505,OK,widowed,phd,employed,1,True
Brandon Hunt,63,M,66517,MN,divorced,other,employed,5,False
James Rivers,23,M,83903,NJ,single,phd,employed,6,True
Jason Williams,49,M,101509,AL,divorced,phd,retired,4,True
Julie Simpson,47,F,169510,AL,married,phd,unemployed,5,True
Tracey Walsh,73,F,43300,UT,divorced,phd,self_employed,5,False
Carly Taylor,70,F,25672,OH,divorced,master,retired,2,False
John Romero,52,M,151967,UT,divorced,master,retired,4,False
Joshua Edwards,73,M,74454,TN,married,other,retired,2,False
Nicole Martin,20,F,108408,IN,widowed,phd,retired,6,True
Joshua Morrison,49,M,34704,MD,married,other,self_employed,1,False
Lori Cameron,24,F,162874,OH,widowed,high_school,unemployed,4,True
Hannah Allen,22,F,148074,WI,divorced,master,retired,6,True
Christine Soto,72,F,111131,AK,widowed,master,retired,5,True
Joseph May,57,M,42936,SC,married,master,unemployed,6,True
Stacy Sanford,45,F,50806,HI,single,phd,unemployed,6,False
Tara Gamble,75,F,32588,UT,single,master,employed,3,False
Holly Stewart,41,F,137901,CO,married,bachelor,retired,5,True
Charles Ryan,28,M,70893,PR,single,other,retired,5,True
Jonathan Davis,49,M,177871,MN,married,bachelor,retired,6,False
Jesse Williams,47,M,91932,FM,single,phd,self_employed,6,True
Crystal Robertson,22,F,140796,DC,divorced,other,self_employed,6,False
Bridget Jackson,62,F,90561,WI,widowed,master,unemployed,4,False
Kayla Jackson,24,F,87182,TX,widowed,other,self_employed,5,False
Jacob Williams,62,M,102392,SD,single,phd,self_employed,1,True
Emily Cox,76,F,155214,IN,divorced,bachelor,self_employed,2,True
Travis Garcia,57,M,90700,NC,married,high_school,employed,3,False
Kyle Bautista,20,M,176931,VT,divorced,bachelor,employed,3,False
Krista Barber,65,F,133921,MS,married,bachelor,unemployed,5,False
Peter Ali,51,M,156542,HI,divorced,bachelor,self_employed,4,False
Christina Moss,65,F,113792,MO,single,phd,employed,2,True
Bethany Fox,73,F,129179,HI,divorced,high_school,retired,1,False
Jason Goodwin,52,M,57398,ND,widowed,master,self_employed,5,False
Elijah Hart,70,M,122379,NY,single,bachelor,retired,1,False
Jeremy Miller,76,M,83030,VA,single,phd,self_employed,6,False
Teresa Haynes,25,F,61641,TN,single,high_school,self_employed,4,True
Frederick Alvarez,24,M,86551,LA,married,phd,retired,3,False
Michael Vasquez,55,M,65507,UT,widowed,high_school,retired,5,False
Patrick Lamb,78,M,98332,AL,single,master,unemployed,4,False
Jason Floyd,78,M,86895,WI,divorced,high_school,self_employed,5,False
Zachary Gonzalez,21,M,129369,WY,divorced,bachelor,employed,4,True
Amanda Logan,60,F,80602,MI,single,high_school,self_employed,2,True
Alex Gray,68,M,173000,MS,married,high_school,unemployed,5,True
Lisa Diaz,70,F,86079,DC,divorced,bachelor,employed,3,True
Christina Washington,26,F,166614,GU,divorced,bachelor,employed,6,True
Nicholas Davenport,26,M,28895,WY,divorced,bachelor,self_employed,1,True
Kathy Sandoval,34,F,38736,FM,married,phd,employed,6,True
William Lewis,48,M,142512,VA,divorced,other,employed,4,True
Christopher Petersen,78,M,36367,WV,divorced,phd,employed,1,False
Donna Foster,72,F,130281,TX,widowed,high_school,retired,6,False
Jennifer Diaz,22,F,46178,AK,divorced,other,unemployed,1,True
Joshua Harris,35,M,178449,VI,divorced,phd,self_employed,4,False
James Bray,24,M,54992,IA,married,phd,retired,2,False
Mario Johns,39,M,143882,ME,widowed,phd,employed,3,False
Susan Carrillo,38,F,91817,ME,divorced,bachelor,retired,1,True
Roberto Walsh,71,M,47377,MS,single,phd,employed,6,False
Christopher Perez,69,M,59108,AZ,single,other,self_employed,6,True
James Crosby,44,M,117693,UT,widowed,high_school,self_employed,5,False
Maria Davis,40,F,52158,SD,married,bachelor,retired,2,True
Becky Wilson,40,F,170821,SC,divorced,high_school,self_employed,5,True
Bonnie Harris,69,F,137489,FL,single,other,self_employed,1,True
Amanda Nash,35,F,105998,OH,divorced,master,employed,2,True
Brandy Neal,54,F,130063,VA,single,bachelor,employed,1,True
Christopher Lynch,42,M,135056,MD,widowed,master,unemployed,3,False
Felicia Foster,64,F,110035,FL,single,high_school,unemployed,2,True
Gerald Brooks,61,M,46386,AK,divorced,phd,retired,4,False
Christian Peterson,44,M,96609,ID,married,other,employed,3,False
Francis Alexander,25,M,99251,MH,widowed,other,self_employed,1,True
Amy Simmons,43,F,39360,FL,single,bachelor,self_employed,2,True
